UF,Nome_UF,uf_code,Municipio,Nome_Mesorregiao,Nome_Municipio,lat,lon
11,Rondônia,RO,00015,Leste Rondoniense,Alta Floresta D'Oeste,-11.9355403048,-61.9998238963
11,Rondônia,RO,00379,Leste Rondoniense,Alto Alegre dos Parecis,-12.1317772246,-61.8530771686
11,Rondônia,RO,00403,Leste Rondoniense,Alto Paraíso,-9.7166667381,-63.3176294335
11,Rondônia,RO,00346,Leste Rondoniense,Alvorada D'Oeste,-11.3441300234,-62.2772748657
11,Rondônia,RO,00023,Leste Rondoniense,Ariquemes,-9.9084628666,-63.033269278
11,Rondônia,RO,00452,Madeira-Guaporé,Buritis,-10.2098054072,-63.8296787918
11,Rondônia,RO,00031,Leste Rondoniense,Cabixi,-13.4997634597,-60.5443135812
11,Rondônia,RO,00601,Leste Rondoniense,Cacaulândia,-10.3388728394,-62.9031899346
11,Rondônia,RO,00049,Leste Rondoniense,Cacoal,-11.4338650287,-61.4429442118
11,Rondônia,RO,00700,Madeira-Guaporé,Campo Novo de Rondônia,-10.5684164693,-63.6249914265
11,Rondônia,RO,00809,Madeira-Guaporé,Candeias do Jamari,-8.7850207035,-63.7000200718
11,Rondônia,RO,00908,Leste Rondoniense,Castanheiras,-11.4268422255,-61.9491611965
11,Rondônia,RO,00056,Leste Rondoniense,Cerejeiras,-13.195033032,-60.8184261647
11,Rondônia,RO,00924,Leste Rondoniense,Chupinguaia,-12.5568407611,-60.90184775
11,Rondônia,RO,00064,Leste Rondoniense,Colorado do Oeste,-13.1305638415,-60.5550674631
11,Rondônia,RO,00072,Leste Rondoniense,Corumbiara,-12.9975202365,-60.9487011707
11,Rondônia,RO,00080,Madeira-Guaporé,Costa Marques,-12.4360138777,-64.2316539391
11,Rondônia,RO,00940,Madeira-Guaporé,Cujubim,-9.3781933991,-62.5871745319
11,Rondônia,RO,00098,Leste Rondoniense,Espigão D'Oeste,-11.5285546333,-61.0201731133
