EstadoNome,Estado,RegiaoMetropolitana,Cidade,lat,lon
Rondônia,RO,Leste Rondoniense,Alta Floresta D'Oeste,-11.9355403048,-61.9998238963
Rondônia,RO,Leste Rondoniense,Alto Alegre dos Parecis,-12.1317772246,-61.8530771686
Rondônia,RO,Leste Rondoniense,Alto Paraíso,-9.7166667381,-63.3176294335
Rondônia,RO,Leste Rondoniense,Alvorada D'Oeste,-11.3441300234,-62.2772748657
Rondônia,RO,Leste Rondoniense,Ariquemes,-9.9084628666,-63.033269278
Rondônia,RO,Madeira-Guaporé,Buritis,-10.2098054072,-63.8296787918
Rondônia,RO,Leste Rondoniense,Cabixi,-13.4997634597,-60.5443135812
Rondônia,RO,Leste Rondoniense,Cacaulândia,-10.3388728394,-62.9031899346
Rondônia,RO,Leste Rondoniense,Cacoal,-11.4338650287,-61.4429442118
Rondônia,RO,Madeira-Guaporé,Campo Novo de Rondônia,-10.5684164693,-63.6249914265
Rondônia,RO,Madeira-Guaporé,Candeias do Jamari,-8.7850207035,-63.7000200718
Rondônia,RO,Leste Rondoniense,Castanheiras,-11.4268422255,-61.9491611965
Rondônia,RO,Leste Rondoniense,Cerejeiras,-13.195033032,-60.8184261647
Rondônia,RO,Leste Rondoniense,Chupinguaia,-12.5568407611,-60.90184775
Rondônia,RO,Leste Rondoniense,Colorado do Oeste,-13.1305638415,-60.5550674631
Rondônia,RO,Leste Rondoniense,Corumbiara,-12.9975202365,-60.9487011707
Rondônia,RO,Madeira-Guaporé,Costa Marques,-12.4360138777,-64.2316539391
Rondônia,RO,Madeira-Guaporé,Cujubim,-9.3781933991,-62.5871745319
Rondônia,RO,Leste Rondoniense,Espigão D'Oeste,-11.5285546333,-61.0201731133
Rondônia,RO,Madeira-Guaporé,Guajará-Mirim,-10.7738837407,-65.3239518197
Rondônia,RO,Madeira-Guaporé,Itapuã do Oeste,-9.1918716753,-63.1823370165
Rondônia,RO,Leste Rondoniense,Jaru,-10.4359487679,-62.4762307081
Rondônia,RO,Leste Rondoniense,Ji-Paraná,-10.8820513183,-61.9450945827
Rondônia,RO,Leste Rondoniense,Machadinho D'Oeste,-9.42556248,-61.9995925724
Rondônia,RO,Leste Rondoniense,Ministro Andreazza,-11.1962379842,-61.5189219301
